종명,접수일시,도로유형,도로명
노루,2022-06-14,고속국도(재정),35
고라니,2022-06-14,고속국도(재정),45
고양이,2022-06-14,고속국도(재정),100
고라니,2022-06-15,고속국도(재정),151
고라니,2022-06-15,고속국도(재정),35
고라니,2022-06-15,고속국도(재정),50
고라니,2022-06-15,고속국도(재정),251
고양이,2022-06-15,고속국도(재정),55
고라니,2022-06-16,고속국도(재정),151
고라니,2022-06-16,고속국도(재정),12
고라니,2022-06-16,고속국도(재정),50
고라니,2022-06-16,고속국도(재정),35
멧돼지,2022-06-16,고속국도(재정),55
고라니,2022-06-16,고속국도(재정),20
고라니,2022-06-17,고속국도(재정),30
고라니,2022-06-17,고속국도(재정),251
고라니,2022-06-17,고속국도(재정),55
고라니,2022-06-17,고속국도(재정),35
고라니,2022-06-18,고속국도(재정),1
고라니,2022-06-19,고속국도(재정),35
고라니,2022-06-19,고속국도(재정),55
고라니,2022-06-19,고속국도(재정),50
고라니,2022-06-19,고속국도(재정),15
고라니,2022-06-19,고속국도(재정),1
고라니,2022-06-20,고속국도(재정),65
오소리,2022-06-20,고속국도(재정),40
고라니,2022-06-20,고속국도(재정),27
고라니,2022-06-20,고속국도(재정),30
고라니,2022-06-21,고속국도(재정),30
고라니,2022-06-21,고속국도(재정),65
고라니,2022-06-22,고속국도(재정),30
고라니,2022-06-22,고속국도(재정),50
노루,2022-06-23,고속국도(재정),55
고라니,2022-06-23,고속국도(재정),12
고라니,2022-06-23,고속국도(재정),300
고라니,2022-06-23,고속국도(재정),15
고라니,2022-06-23,고속국도(재정),40
멧돼지,2022-06-23,고속국도(재정),35
고양이,2022-06-23,고속국도(재정),110
고라니,2022-06-24,고속국도(재정),35
고라니,2022-06-24,고속국도(재정),15
고라니,2022-06-24,고속국도(재정),30
